rank,pref,pref_code,muni,did_pop_pct,yukaue,yukashita,buildings,takuchi_share,first_year,last_year,years,has_a51,a51_km2,hires_dem_pref,hires_dem,wards,typhoon_share,tsuyu_share,gou_share,etc_share
91,京都府,26,亀岡市,68.3,97.0,189.0,286.0,0.05765199161425577,2010,2015,5,False,,False,,,0.45454545454545453,0.06643356643356643,0.479020979020979,0.0
92,千葉県,12,市原市,64.7,85.0,200.0,285.0,0.08120649651972159,2010,2023,9,False,,False,,,0.8,0.10526315789473684,0.09473684210526316,0.0
93,愛知県,23,豊川市,66.6,146.0,137.0,283.0,0.19943622269203665,2017,2023,4,False,,False,,,0.9893992932862191,0.01060070671378092,0.0,0.0
94,福井県,18,福井市,70.5,11.0,270.0,281.0,1.0,2010,2023,9,False,,False,,,0.06761565836298933,0.08185053380782918,0.8505338078291815,0.0
95,岐阜県,21,各務原市,60.6,20.0,257.0,277.0,1.0,2010,2022,12,False,,False,,,0.2779783393501805,0.16606498194945848,0.555956678700361,0.0
96,埼玉県,11,八潮市,97.1,119.0,157.0,276.0,1.0,2010,2023,5,False,,False,,,0.9855072463768116,0.0,0.014492753623188406,0.0
97,大分県,44,大分市,73.8,46.0,230.0,276.0,0.8809523809523809,2011,2018,3,False,,False,,,1.0,0.0,0.0,0.0
98,茨城県,8,取手市,73.6,12.0,254.0,266.0,0.14416058394160583,2013,2023,4,False,,False,,,0.9736842105263158,0.0,0.02631578947368421,0.0
99,埼玉県,11,富士見市,92.6,78.0,188.0,266.0,1.0,2011,2019,3,False,,False,,,0.9924812030075187,0.0,0.007518796992481203,0.0
100,東京都,13,世田谷区,100.0,130.0,135.0,265.0,1.0,2010,2021,10,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.16981132075471697,0.4339622641509434,0.39622641509433965,0.0
101,千葉県,12,佐倉市,80.8,59.0,202.0,261.0,1.0,2010,2019,6,False,,False,,,0.8544061302681992,0.0,0.14559386973180077,0.0
102,神奈川県,14,茅ヶ崎市,94.3,3.0,252.0,255.0,1.0,2010,2016,4,False,,True,DEM 0.5m（R4 範囲は 1m・DSM も）,,0.18823529411764706,0.0,0.8117647058823529,0.0
103,東京都,13,八王子市,90.6,65.0,190.0,255.0,1.0,2013,2019,5,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.996078431372549,0.00392156862745098,0.0,0.0
104,青森県,2,弘前市,68.5,158.0,94.0,252.0,0.08908045977011494,2010,2022,7,False,,False,,,0.47619047619047616,0.01984126984126984,0.503968253968254,0.0
105,千葉県,12,野田市,66.0,18.0,230.0,248.0,1.0,2010,2017,5,False,,False,,,0.5362903225806451,0.0,0.4637096774193548,0.0
106,静岡県,22,島田市,55.2,76.0,169.0,245.0,0.8526315789473684,2011,2022,5,False,,True,DEM 0.5m（点群 LAS）,,0.8326530612244898,0.053061224489795916,0.11428571428571428,0.0
107,新潟県,15,加茂市,62.2,16.0,225.0,241.0,1.0,2010,2022,5,False,,False,,,0.02074688796680498,0.0,0.979253112033195,0.0
108,岐阜県,21,岐阜市,75.5,22.0,217.0,239.0,0.744988864142539,2010,2022,9,False,,False,,,0.10460251046025104,0.28451882845188287,0.6108786610878661,0.0
109,群馬県,10,高崎市,54.1,17.0,217.0,234.0,0.9391304347826086,2010,2019,8,False,,False,,,0.3418803418803419,0.008547008547008548,0.6495726495726496,0.0
110,宮城県,4,名取市,70.1,81.0,148.0,229.0,0.05073214021594439,2017,2019,2,False,,False,,,1.0,0.0,0.0,0.0
111,島根県,32,松江市,52.3,27.0,202.0,229.0,1.0,2010,2023,8,False,,False,,,0.004366812227074236,0.62882096069869,0.36681222707423583,0.0
112,愛知県,23,大治町,97.5,8.0,218.0,226.0,1.0,2012,2021,5,False,,False,,,0.5353982300884956,0.0,0.4646017699115044,0.0
113,東京都,13,大田区,100.0,109.0,117.0,226.0,1.0,2013,2023,7,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.4690265486725664,0.4026548672566372,0.12831858407079647,0.0
114,東京都,13,目黒区,100.0,142.0,80.0,222.0,1.0,2013,2020,8,False,,True,DEM 0.25m・0.5m（点群 LAS）,,0.03153153153153153,0.6621621621621622,0.3063063063063063,0.0
115,三重県,24,桑名市,54.0,26.0,187.0,213.0,1.0,2011,2020,8,False,,False,,,0.1784037558685446,0.0,0.8215962441314554,0.0
116,奈良県,29,大和高田市,74.3,13.0,200.0,213.0,1.0,2010,2023,6,False,,False,,,0.17370892018779344,0.2112676056338028,0.6150234741784038,0.0
117,奈良県,29,奈良市,87.1,22.0,191.0,213.0,1.0,2010,2018,8,False,,False,,,0.352112676056338,0.0,0.647887323943662,0.0
118,大阪府,27,交野市,94.9,35.0,168.0,203.0,1.0,2012,2017,4,False,,False,,,0.03940886699507389,0.029556650246305417,0.9310344827586207,0.0
119,埼玉県,11,志木市,99.5,17.0,184.0,201.0,1.0,2013,2023,5,False,,False,,,1.0,0.0,0.0,0.0
120,福岡県,40,北九州市,99.4,42.0,154.0,196.0,1.0,2011,2023,6,False,,False,,小倉北区 104、戸畑区 26、八幡西区 24、若松区 22…,0.07653061224489796,0.9081632653061225,0.015306122448979591,0.0
121,北海道,1,釧路町,53.3,92.0,103.0,195.0,1.0,2010,2015,4,False,,False,,,0.005128205128205128,0.0,0.9948717948717949,0.0
122,宮城県,4,塩竈市,89.5,90.0,104.0,194.0,1.0,2014,2019,2,False,,False,,,1.0,0.0,0.0,0.0
